fips	population	density
55017	64135	6311
55021	57358	744
55025	542364	44255
55027	87847	10024
55031	43208	3328
55033	45131	5234
55035	104534	16143
55039	103066	14219
55045	36929	6313
55055	85129	15212
55059	169290	61888
55063	118230	26091
55073	135428	8755
55079	948201	395278
55087	187365	2898
55089	89147	37878
55093	42555	7251
55101	196584	58766
55105	163129	22526
55109	89694	12171
55111	64249	7654
55117	115456	22533
55127	103718	18557
55131	135693	31236
55133	403072	7258
55139	171020	3911
55141	73055	9239
56005	46140	993
56007	14971	196
56013	39531	436
56021	98976	3637
56025	79115	1509
56029	29324	419
56033	30233	1189
56039	23081	577
56043	7885	363
